sample_index,domain,scene_id,scan_id,image_relpath,input_size,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,742,742,994,786067,78607,1100495.0,497278.5584692758,567662.6960038592,-70384.13753458334,338805.64558496734,388174.5794666187,-49368.93388165138,0.08177180963006869,59.70633216202259
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,798,798,1064,786067,78607,1100495.0,497278.5584692758,594840.6191270421,-97562.0606577663,338805.64558496734,401465.1127232364,-62659.46713826904,0.08384994654200328,74.8017942532897
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,854,854,1134,786067,78607,1100495.0,497278.5584692758,629099.0003898724,-131820.44192059652,338805.64558496734,428958.0020326015,-90152.35644763417,0.08379868725693931,120.70695776492357
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,910,910,1218,786067,78607,1100495.0,497278.5584692758,641016.930771726,-143738.37230245012,338805.64558496734,437946.1432171073,-99140.49763213994,0.08142271675011752,112.66617197543383
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,966,966,1288,786067,78607,1100495.0,497278.5584692758,645521.6207486633,-148243.0622793875,338805.64558496734,437905.24150850193,-99099.5959235346,0.08006034665278039,136.02291885763407
3,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,1022,1022,1358,786067,78607,1100495.0,497278.5584692758,599289.2191016043,-102010.66063232848,338805.64558496734,406293.9778790916,-67488.33229412424,0.08308851795064273,175.48302095383406
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,518,518,686,786369,78638,1100921.0,319044.8208653766,319044.8208653766,0.0,206360.9806768534,206360.9806768534,0.0,0.07093880014215238,26.887410320341587
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,574,574,770,786369,78638,1100921.0,319044.8208653766,312075.3512239079,6969.4696414687205,206360.9806768534,199936.86721230322,6424.113464550173,0.06823186984143596,29.35982123017311
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,630,630,840,786369,78638,1100921.0,319044.8208653766,333167.29263901553,-14122.471773638914,206360.9806768534,213984.65929597794,-7623.678619124548,0.06541420064248883,45.78142799437046
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,686,686,910,786369,78638,1100921.0,319044.8208653766,347873.3491755705,-28828.528310193855,206360.9806768534,225194.25562015912,-18833.274943305732,0.06414696794414053,73.74334614723921
