variant,selector,metric,estimate,ci_lower,ci_upper
base_depth_unsharp_mask,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,-0.04252793616784721,-0.05844122354801875,-0.02777177816550368
base_depth_unsharp_mask,rgb_base_rank_combination_topk,signed_absrel_error_reduction_ratio,-0.035183775802425196,-0.049942523529612474,-0.019041889424814135
base_depth_unsharp_mask,rgb_base_rank_combination_topk,harmful_selection_rate,0.885,0.8466666666666667,0.92
base_depth_unsharp_mask,rgb_base_rank_combination_topk,oracle_regret_ratio,99.15213917437832,46.77914533463491,710.1587725163497
base_depth_unsharp_mask,rgb_base_rank_combination_topk,actual_selection_count,3.0,3.0,3.0
base_depth_unsharp_mask,rgb_base_rank_combination_topk,positive_utility_capture,0.10134924722904241,0.05632100343420209,0.4215956177324039
base_depth_unsharp_mask,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.0004332858817502851,6.220212428046252e-05,0.0009362517284185939
base_depth_unsharp_mask,oracle_at_most_k_positive,signed_absrel_error_reduction_ratio,0.0002597886273389031,5.2016105051923864e-05,0.0005368978232153777
base_depth_unsharp_mask,oracle_at_most_k_positive,harmful_selection_rate,0.0,0.0,0.0
base_depth_unsharp_mask,oracle_at_most_k_positive,oracle_regret_ratio,0.0,0.0,0.0
base_depth_unsharp_mask,oracle_at_most_k_positive,actual_selection_count,1.545,1.375,1.715
base_depth_unsharp_mask,oracle_at_most_k_positive,positive_utility_capture,0.992379708930772,0.9409356900095799,0.9984168697922103
base_depth_unsharp_mask,all_12_regions,signed_primary_error_reduction_ratio,-0.05840296076725832,-0.07580312889708071,-0.04030821157236728
base_depth_unsharp_mask,all_12_regions,signed_absrel_error_reduction_ratio,-0.04947145684712809,-0.06928750757372337,-0.02836618287287246
base_depth_unsharp_mask,all_12_regions,harmful_selection_rate,0.8379166666666666,0.8154166666666667,0.8575
base_depth_unsharp_mask,all_12_regions,oracle_regret_ratio,134.7636780888926,65.52045858164927,908.0528600482435
base_depth_unsharp_mask,all_12_regions,actual_selection_count,12.0,12.0,12.0
base_depth_unsharp_mask,all_12_regions,positive_utility_capture,1.0,1.0,1.0
