method,budget_count,metric,estimate,ci_lower,ci_upper
rgb_gradient_topk,6,harmful_selection_rate,0.45416666666666666,0.4041666666666667,0.505
rgb_gradient_topk,6,oracle_regret_ratio,0.2774414501896686,0.16318263018640508,0.4779257655352447
rgb_gradient_topk,6,actual_selection_count,6.0,6.0,6.0
rgb_gradient_topk,6,positive_utility_capture,0.8552385093023612,0.7411608185782362,0.9361350580568514
base_gradient_topk,6,signed_primary_error_reduction_ratio,0.08525612553376692,0.04865945843999396,0.11605698883835096
base_gradient_topk,6,signed_absrel_error_reduction_ratio,0.09084040954297742,0.04254577933555603,0.13398595919325104
base_gradient_topk,6,harmful_selection_rate,0.4175,0.36583333333333334,0.4708333333333333
base_gradient_topk,6,oracle_regret_ratio,0.17649159878100215,0.09254073481280471,0.33467488058531863
base_gradient_topk,6,actual_selection_count,6.0,6.0,6.0
base_gradient_topk,6,positive_utility_capture,0.9392094734784584,0.890803650086745,0.9766143993149111
rgb_base_rank_combination_topk,6,signed_primary_error_reduction_ratio,0.08271823633601169,0.04533496704065058,0.11350120712448568
rgb_base_rank_combination_topk,6,signed_absrel_error_reduction_ratio,0.08916363703604153,0.03990817889432275,0.1318855387300219
rgb_base_rank_combination_topk,6,harmful_selection_rate,0.4225,0.37083333333333335,0.4775
rgb_base_rank_combination_topk,6,oracle_regret_ratio,0.20100565055886074,0.11710501610441226,0.3767084438117848
rgb_base_rank_combination_topk,6,actual_selection_count,6.0,6.0,6.0
rgb_base_rank_combination_topk,6,positive_utility_capture,0.9295058027914851,0.8878454072919583,0.9627178168200656
oracle_at_most_k_positive,6,signed_primary_error_reduction_ratio,0.10352793657911272,0.07021835666307795,0.1314454031746611
oracle_at_most_k_positive,6,signed_absrel_error_reduction_ratio,0.10656090437433402,0.059543049103003814,0.14703588656205588
oracle_at_most_k_positive,6,harmful_selection_rate,0.0,0.0,0.0
oracle_at_most_k_positive,6,oracle_regret_ratio,0.0,0.0,0.0
oracle_at_most_k_positive,6,actual_selection_count,5.415,5.225,5.59
oracle_at_most_k_positive,6,positive_utility_capture,0.9936898161504039,0.9889362062842664,0.9982131240261156
all_12_regions,12,signed_primary_error_reduction_ratio,0.08837117621610104,0.04954493080273465,0.11946812998566708
all_12_regions,12,signed_absrel_error_reduction_ratio,0.09411436199601919,0.043291841644053884,0.13780400414537253
all_12_regions,12,harmful_selection_rate,0.4404166666666667,0.4091666666666667,0.47458333333333336
all_12_regions,12,oracle_regret_ratio,0.15178896876720716,0.07314325631707055,0.32187277752435334
all_12_regions,12,actual_selection_count,12.0,12.0,12.0
all_12_regions,12,positive_utility_capture,1.0,1.0,1.0
oracle_at_most_k_positive,12,signed_primary_error_reduction_ratio,0.10418536538915564,0.07067468134842787,0.1321382680093813
oracle_at_most_k_positive,12,signed_absrel_error_reduction_ratio,0.10733309804225907,0.05982449721305601,0.14792296603957572
oracle_at_most_k_positive,12,harmful_selection_rate,0.0,0.0,0.0
oracle_at_most_k_positive,12,oracle_regret_ratio,0.0,0.0,0.0
oracle_at_most_k_positive,12,actual_selection_count,6.53,6.145,6.895
oracle_at_most_k_positive,12,positive_utility_capture,1.0,0.9999999999999997,1.0
