sample_index,scan_id,image_relpath,global_thresholded_gradient_density,region_id,boosting_gradient_density_ratio,passes_official_density_threshold,selected_exact_k,selected_at_most_k_official_threshold,primary_utility_sum,absrel_utility_sum
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,2,1.9543748407507557,True,True,True,1172.8517013276892,1050.3750376369505
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,3,1.2133844836032985,True,False,False,-5.845952859136862,2.132156359882398
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,4,0.8807375733472794,False,False,False,94.99775540572242,-8.386468986830423
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,5,0.6593676479242456,False,False,False,-17.2538426310865,-23.425206733006508
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,6,1.3363317884071289,True,False,False,561.5302220439562,194.05564754415744
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,7,0.7878589987964737,False,False,False,41.708587578320966,-25.969001932812716
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,8,0.1952907126934413,False,False,False,12.572787166233729,12.572787166233729
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,9,0.33939809907091767,False,False,False,8.71139961103315,8.71139961103315
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,10,1.0491126564644555,True,False,False,11.515839498164967,-184.84444146631398
3,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_140_050.png,0.05310210907181884,11,0.5300494203869525,False,False,False,-138.43504540425192,-47.41120305343297
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,0,0.29996246547527816,False,False,False,-87.34606361045603,-73.86317050746298
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,1,0.1307009410637863,False,False,False,-11.01588307258024,-11.01588307258024
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,2,0.17984820988034944,False,False,False,-3.2248192435053777,-3.25835579339937
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,3,1.053797698438902,True,False,False,59.96467512624494,-7.239634599131113
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,4,1.2781133141072367,True,False,False,154.72415174179184,-10.093412265875916
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,5,1.2503156645545768,True,False,False,168.22489641969165,0.19126426144659847
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,6,1.1077411743444558,True,False,False,-334.122315263741,-80.44684142575302
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,7,0.4404815497257987,False,False,False,15.57445601160856,2.551137107826336
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,8,1.8778939882485142,True,True,True,-76.04003097000879,-27.27795645812038
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,9,1.825813153447497,True,True,True,-176.43769987155235,1.0862145453996632
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,10,1.4080451793692994,True,True,True,-85.75763982092778,40.60003234099571
4,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,0.06148491002101524,11,1.147286661344296,True,False,False,-288.63679963308095,30.983344718706043
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,0,0.5949412960192463,False,False,False,-88.30020087632393,-60.488958021478716
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,1,0.7269488409974167,False,False,False,48.825540020473156,-4.728417580668759
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,2,1.068287827218529,True,False,False,-63.191301006703384,-44.953223549139
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,3,0.7840839644081626,False,False,False,43.89635335499989,34.79263380940725
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,4,0.7275104822390064,False,False,False,-137.99414483042182,-83.24634738697843
