sample_index,domain,scene_id,scan_id,image_relpath,input_size,status,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1526,OK,1526,2030,705219,70447,987007.0,1035667.7115214531,1102075.4542891856,-66407.74276773247,343090.868340081,365340.0610869307,-22249.192746849672,0.011908074138100137,573.4630906954408
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1582,OK,1582,2114,705219,70447,987007.0,1035667.7115214531,1094773.1360086943,-59105.424487241195,343090.868340081,363721.4644990972,-20630.59615901619,0.011784536137073772,672.7964673191309
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1638,OK,1638,2184,705219,70447,987007.0,1035667.7115214531,1099110.9183842149,-63443.206862761755,343090.868340081,364189.6337409116,-21098.765400830598,0.011714435600596844,746.8719575554132
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1694,OK,1694,2254,705219,70447,987007.0,1035667.7115214531,1094186.6851820743,-58518.97366062121,343090.868340081,363319.0598564529,-20228.19151637191,0.011730153770051032,873.4949370846152
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1750,OK,1750,2338,705219,70447,987007.0,1035667.7115214531,1102502.8854145743,-66835.17389312119,343090.868340081,366759.8968890046,-23669.028548923612,0.011569030334973246,1199.1173019632697
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1806,OK,1806,2408,705219,70447,987007.0,1035667.7115214531,1101737.8910797266,-66070.17955827352,343090.868340081,365880.0565487932,-22789.188208712207,0.011792292124307916,1118.0794071406126
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1862,OK,1862,2478,705219,70447,987007.0,1035667.7115214531,1116062.7434739112,-80395.03195245808,343090.868340081,369553.83871761797,-26462.970377536956,0.011741446662438029,1284.875763580203
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1918,OK,1918,2562,705219,70447,987007.0,1035667.7115214531,1111576.7431996248,-75909.03167817171,343090.868340081,368946.2206629632,-25855.352322882216,0.01164449559564637,1422.9467660188675
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,1974,OK,1974,2632,705219,70447,987007.0,1035667.7115214531,1113798.1476717377,-78130.4361502846,343090.868340081,370148.9631839955,-27058.0948439145,0.011617391624441406,1622.925179079175
118,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_260_030.png,2030,OK,2030,2702,705219,70447,987007.0,1035667.7115214531,1107230.6685234155,-71562.95700196235,343090.868340081,367096.4185612377,-24005.550221156678,0.011612551061410943,1851.9951673224568
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,518,OK,518,686,498788,49708,697620.0,8009431.283547761,8009431.283547761,0.0,2361856.9413916282,2361856.9413916282,0.0,0.023606471319375846,22.974321618676186
