dataset,image_id,cluster_id,error_type,variant_id,template_id,full_clean_abs_rel,full_variant_abs_rel,full_abs_rel_degradation,full_clean_d1,full_variant_d1,full_d1_degradation,region_clean_abs_rel,region_variant_abs_rel,region_abs_rel_degradation,region_clean_d1,region_variant_d1,region_d1_degradation,full_valid_pixel_count,region_valid_pixel_count
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,target_deletion,1,target_deletion-v1,0.03291441461383069,0.03671470694997637,0.0038002923361456775,0.9976751539048115,0.9976007588297655,7.439507504602982e-05,0.20325384573600844,0.20908957110923265,0.005835725373224215,0.8014705882352942,0.7941176470588235,0.007352941176470673,215068,816
NYUv2,nyuv2_labeled_0045,706f49ecb5ea00229083f74184d38c7296f9c4c048d34d2131edc3ee586ec828,target_deletion,2,target_deletion-v2,0.03291441461383069,0.03128191399736667,-0.0016325006164640207,0.9976751539048115,0.9977355999032864,-6.0445998474878415e-05,0.20325384573600844,0.20449532779157786,0.0012414820555694261,0.8014705882352942,0.7977941176470589,0.003676470588235281,215068,816
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,depth_relation_conflict,0,depth_relation_conflict-v0,0.03612489707564886,0.03601820720956966,-0.0001066898660792015,0.998998998998999,0.9990624771112576,-6.347811225859701e-05,0.04012653064887695,0.04243897705309425,0.0023124464042172943,0.9903462050599201,0.9903462050599201,0.0,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,depth_relation_conflict,1,depth_relation_conflict-v1,0.03612489707564886,0.0381592349669442,0.0020343378912953403,0.998998998998999,0.9990331795209844,-3.418052198533861e-05,0.04012653064887695,0.043419538300360515,0.003293007651483562,0.9903462050599201,0.9903462050599201,0.0,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,depth_relation_conflict,2,depth_relation_conflict-v2,0.03612489707564886,0.03609459501704453,-3.0302058604325666e-05,0.998998998998999,0.998925755023316,7.324397568297947e-05,0.04012653064887695,0.039913818287513766,-0.00021271236136318622,0.9903462050599201,0.9896804260985352,0.0006657789613848664,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,local_entity_conflict,0,local_entity_conflict-v0,0.03612489707564886,0.032284854761751955,-0.0038400423138969034,0.998998998998999,0.9992577943797456,-0.00025879538074657926,0.04012653064887695,0.03978729283649946,-0.00033923781237749084,0.9903462050599201,0.991011984021305,-0.0006657789613848664,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,local_entity_conflict,1,local_entity_conflict-v1,0.03612489707564886,0.034610826955559566,-0.001514070120089292,0.998998998998999,0.9990136477941356,-1.4648795136573689e-05,0.04012653064887695,0.03733411185910621,-0.0027924187897707398,0.9903462050599201,0.9903462050599201,0.0,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,local_entity_conflict,2,local_entity_conflict-v2,0.03612489707564886,0.03359974282357098,-0.002525154252077881,0.998998998998999,0.9989208720916039,7.81269073951707e-05,0.04012653064887695,0.03047102940614346,-0.009655501242733493,0.9903462050599201,0.9893475366178429,0.0009986684420771885,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,semantic_preserving,0,semantic_preserving-v0,0.03612489707564886,0.03612489707564886,0.0,0.998998998998999,0.998998998998999,0.0,0.04012653064887695,0.04012653064887695,0.0,0.9903462050599201,0.9903462050599201,0.0,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,semantic_preserving,1,semantic_preserving-v1,0.03612489707564886,0.035894698668635566,-0.00023019840701329203,0.998998998998999,0.9989697014087258,2.92975902732584e-05,0.04012653064887695,0.037815268410281794,-0.002311262238595159,0.9903462050599201,0.9896804260985352,0.0006657789613848664,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,semantic_preserving,2,semantic_preserving-v2,0.03612489707564886,0.035903201015513586,-0.00022169606013527215,0.998998998998999,0.9989697014087258,2.92975902732584e-05,0.04012653064887695,0.03871808078360488,-0.0014084498652720753,0.9903462050599201,0.9896804260985352,0.0006657789613848664,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,target_deletion,0,target_deletion-v0,0.03612489707564886,0.036160223223261304,3.532614761244529e-05,0.998998998998999,0.9992236138577602,-0.00022461485876112963,0.04012653064887695,0.04264202737656299,0.0025154967276860354,0.9903462050599201,0.991011984021305,-0.0006657789613848664,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,target_deletion,1,target_deletion-v1,0.03612489707564886,0.03364308028897392,-0.0024818167866749383,0.998998998998999,0.9989599355453014,3.906345369764086e-05,0.04012653064887695,0.032888858516931276,-0.007237672131945677,0.9903462050599201,0.9896804260985352,0.0006657789613848664,204795,3004
NYUv2,nyuv2_labeled_0050,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,target_deletion,2,target_deletion-v2,0.03612489707564886,0.034394690786324594,-0.001730206289324264,0.998998998998999,0.9990282965892722,-2.9297590273147378e-05,0.04012653064887695,0.0348365019340415,-0.00529002871483545,0.9903462050599201,0.9903462050599201,0.0,204795,3004
NYUv2,nyuv2_labeled_0052,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,depth_relation_conflict,0,depth_relation_conflict-v0,0.05299261176860306,0.05249602620798333,-0.000496585560619725,0.9767676471450776,0.9767676471450776,0.0,0.11716789569003504,0.1155340889998455,-0.001633806690189532,0.8261614848090791,0.8237380305000591,0.0024234543090200233,170495,16918
NYUv2,nyuv2_labeled_0052,3bb7820ef8ce644a752a754630e123b41c2b204124bc4cb52c2e02f137108e30,depth_relation_conflict,1,depth_relation_conflict-v1,0.05299261176860306,0.053634570346327716,0.0006419585777246578,0.9767676471450776,0.9766972638493797,7.038329569786228e-05,0.11716789569003504,0.12089420325636535,0.003726307566330314,0.8261614848090791,0.825156637900461,0.0010048469086181289,170495,16918
